Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Southland Conference,2007-2008,11,179,158,0.531,-6.28,-4.02,0,1,0,Lamar (East) Stephen F. Austin (West),UT Arlington
Sun Belt Conference,2007-2008,13,213,196,0.521,-2.77,-1.74,0,2,0,South Alabama (East) Western Kentucky (East) Little Rock (West) Louisiana (West),Western Kentucky
America East Conference,2007-2008,9,124,154,0.446,-7.65,-5.54,0,1,0,Maryland-Baltimore County,Maryland-Baltimore County
Northeast Conference,2007-2008,11,158,180,0.467,-8.04,-6.18,0,1,0,Robert Morris,Mount St. Mary's
Colonial Athletic Association,2007-2008,12,189,192,0.496,-2.62,-2.05,0,1,0,Virginia Commonwealth,George Mason
Big Sky Conference,2007-2008,9,129,144,0.473,-6.43,-3.33,0,1,0,Portland State,Portland State
Big West Conference,2007-2008,9,142,140,0.504,-4.58,-2.82,0,1,0,Cal State Fullerton Cal State Northridge UC Santa Barbara,Cal State Fullerton
Independent,2007-2008,4,51,70,0.421,-14.03,-3.29,0,0,0,,
Summit League,2007-2008,8,124,127,0.494,-3.65,-1.04,0,1,0,Oral Roberts,Oral Roberts
Metro Atlantic Athletic Conference,2007-2008,10,152,164,0.481,-4.24,-3.16,0,1,0,Rider Siena,Siena
Big South Conference,2007-2008,8,125,122,0.506,-7.64,-4.85,0,1,0,UNC Asheville Winthrop,Winthrop
Mid-Eastern Athletic Conference,2007-2008,11,150,203,0.425,-14.32,-8.27,0,1,0,Morgan State,Coppin State
Southwest Athletic Conference,2007-2008,10,118,189,0.384,-17.80,-11.23,0,1,0,Alabama State Mississippi Valley State,Mississippi Valley StateConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
West Coast Conference,2008-2009,8,130,129,0.502,-0.31,1.37,1,1,0,Gonzaga,Gonzaga
Big Ten Conference,2008-2009,11,232,143,0.619,10.85,7.76,0,7,1,Michigan State,Purdue
Big 12 Conference,2008-2009,12,260,153,0.630,11.41,6.66,0,6,0,Kansas,Missouri
Pacific-10 Conference,2008-2009,10,205,137,0.599,11.90,8.06,0,6,0,Washington,Southern California
Atlantic Coast Conference,2008-2009,12,255,142,0.642,12.49,7.82,0,7,1,North Carolina,Duke
Horizon League,2008-2009,10,168,152,0.525,0.30,0.81,1,2,0,Butler,Cleveland State
Conference USA,2008-2009,12,217,178,0.549,3.76,2.87,0,1,0,Memphis,Memphis
Big East Conference,2008-2009,16,335,214,0.610,11.82,7.91,0,7,2,Louisville,Louisville
Southeastern Conference,2008-2009,12,242,158,0.605,8.35,4.56,0,3,0,Louisiana State (West),Mississippi State
Mid-American Conference,2008-2009,12,175,210,0.455,-3.60,-2.07,0,1,0,Bowling Green State (East) Buffalo (East) Ball State (West) Central Michigan (West) Western Michigan (West),Akron
Missouri Valley Conference,2008-2009,10,181,150,0.547,2.49,1.95,0,1,0,Creighton Northern Iowa,Northern Iowa
Atlantic 10 Conference,2008-2009,14,244,206,0.542,2.75,1.83,0,3,0,Xavier,Temple
Atlantic Sun Conference,2008-2009,7,122,100,0.550,-2.76,-1.27,0,1,0,Jacksonville,East Tennessee State
Patriot League,2008-2009,8,112,131,0.461,-8.29,-6.41,0,1,0,American,American
Sun Belt Conference,2008-2009,13,203,207,0.495,-4.69,-3.15,0,1,0,Western Kentucky (East) Little Rock (West),Western Kentucky
Western Athletic Conference,2008-2009,9,158,135,0.539,0.30,0.02,0,1,0,Utah State,Utah State
Mountain West Conference,2008-2009,9,170,125,0.576,6.45,4.03,0,2,0,Brigham Young New Mexico Utah,Utah
Ohio Valley Conference,2008-2009,10,148,163,0.476,-6.37,-4.47,0,1,0,Tennessee-Martin,Morehead State
Colonial Athletic Association,2008-2009,12,201,190,0.514,-2.26,-1.78,0,1,0,Virginia Commonwealth,Virginia Commonwealth
Southland Conference,2008-2009,11,179,159,0.530,-4.82,-3.10,0,1,0,Stephen F. Austin (East) Sam Houston (West),Stephen F. Austin
Independent,2008-2009,4,61,58,0.513,-11.25,-3.80,0,0,0,,
Metro Atlantic Athletic Conference,2008-2009,10,161,160,0.502,-2.57,-1.80,0,1,0,Siena,Siena
America East Conference,2008-2009,9,140,141,0.498,-6.16,-4.72,0,1,0,Binghamton Vermont,Binghamton
Big Sky Conference,2008-2009,9,124,150,0.453,-5.10,-2.31,0,1,0,Weber State,Portland State
Big West Conference,2008-2009,9,133,146,0.477,-2.90,-1.63,0,1,0,Cal State Northridge,Cal State Northridge
Southern Conference,2008-2009,12,183,201,0.477,-7.69,-4.83,0,1,0,Chattanooga (North) Western Carolina (North) Davidson (South),Chattanooga
Summit League,2008-2009,10,142,173,0.451,-3.74,-1.79,0,1,0,North Dakota State,North Dakota State
Northeast Conference,2008-2009,11,151,189,0.444,-9.47,-6.76,0,1,0,Robert Morris,Robert Morris
Ivy League,2008-2009,8,101,125,0.447,-7.92,-5.46,0,1,0,Cornell,
Mid-Eastern Athletic Conference,2008-2009,11,148,202,0.423,-12.97,-7.42,0,1,0,Morgan State,Morgan State
Big South Conference,2008-2009,9,136,145,0.484,-9.25,-5.49,0,1,0,Radford,Radford
Southwest Athletic Conference,2008-2009,10,112,199,0.360,-16.45,-9.49,0,1,0,Alabama State,Alabama StateConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2009-2010,12,260,146,0.640,13.62,8.00,1,7,0,Kansas,Kansas
Horizon League,2009-2010,10,176,152,0.537,0.29,0.93,1,1,1,Butler,Butler
West Coast Conference,2009-2010,8,135,124,0.521,1.25,2.10,1,2,0,Gonzaga,Saint Mary's (CA)
Big Ten Conference,2009-2010,11,218,155,0.584,11.38,7.92,0,5,1,Michigan State Ohio State Purdue,Ohio State
Southeastern Conference,2009-2010,12,242,160,0.602,10.71,6.47,0,4,0,Kentucky (East),Kentucky
Big East Conference,2009-2010,16,327,210,0.609,12.01,7.85,0,8,1,Syracuse,West Virginia
Atlantic Coast Conference,2009-2010,12,260,146,0.640,13.24,7.76,0,6,1,Duke Maryland,Duke
Conference USA,2009-2010,12,216,178,0.548,4.05,2.64,0,2,0,UTEP,Houston
Pacific-10 Conference,2009-2010,10,178,146,0.549,8.81,6.69,0,2,0,California,Washington
Atlantic 10 Conference,2009-2010,14,258,202,0.561,4.17,3.21,0,3,0,Temple Xavier,Temple
Missouri Valley Conference,2009-2010,10,190,139,0.578,4.12,2.46,0,1,0,Northern Iowa,Northern Iowa
Mid-American Conference,2009-2010,12,195,190,0.506,-2.25,-1.27,0,1,0,Akron (East) Kent State (East) Eastern Michigan (West),Ohio
Southern Conference,2009-2010,12,191,201,0.487,-4.63,-2.50,0,1,0,Appalachian State (North) Wofford (South),Wofford
Atlantic Sun Conference,2009-2010,9,144,141,0.505,-5.41,-2.71,0,1,0,Belmont Campbell Jacksonville Lipscomb,East Tennessee State
Western Athletic Conference,2009-2010,9,163,132,0.553,1.88,0.96,0,2,0,Utah State,New Mexico State
Ohio Valley Conference,2009-2010,10,157,163,0.491,-5.80,-3.33,0,1,0,Murray State,Murray State
Mountain West Conference,2009-2010,9,173,123,0.584,5.68,3.84,0,4,0,New Mexico,San Diego State
Metro Atlantic Athletic Conference,2009-2010,10,162,156,0.509,-2.72,-2.91,0,1,0,Siena,Siena
Colonial Athletic Association,2009-2010,12,199,195,0.505,0.23,0.42,0,1,0,Old Dominion,Old Dominion
Big West Conference,2009-2010,9,139,146,0.488,-3.89,-1.67,0,1,0,Pacific UC Santa Barbara,UC Santa Barbara
Sun Belt Conference,2009-2010,13,199,212,0.484,-5.85,-3.73,0,1,0,Middle Tennessee (East) Troy (East) North Texas (West),North Texas
Ivy League,2009-2010,8,117,123,0.488,-6.73,-4.33,0,1,0,Cornell,
Southland Conference,2009-2010,11,179,161,0.526,-6.54,-4.35,0,1,0,Stephen F. Austin (East) Sam Houston (West),Sam Houston
Patriot League,2009-2010,8,112,134,0.455,-8.90,-7.31,0,1,0,Lehigh,Lehigh
Big Sky Conference,2009-2010,9,134,140,0.489,-4.35,-2.01,0,1,0,Weber State,Montana
America East Conference,2009-2010,9,132,153,0.463,-8.18,-5.80,0,1,0,Stony Brook,Vermont
Mid-Eastern Athletic Conference,2009-2010,11,150,201,0.427,-12.07,-7.19,0,1,0,Morgan State,Morgan State
Big South Conference,2009-2010,9,142,137,0.509,-12.40,-7.59,0,1,0,Coastal Carolina,Winthrop
Northeast Conference,2009-2010,11,152,190,0.444,-11.25,-7.91,0,1,0,Quinnipiac Robert Morris,Robert Morris
Independent,2009-2010,2,23,34,0.404,-13.80,-4.75,0,0,0,,
Summit League,2009-2010,10,152,160,0.487,-8.42,-4.68,0,1,0,Oakland,Oakland
Southwest Athletic Conference,2009-2010,10,120,188,0.390,-18.01,-11.01,0,1,0,Jackson State,Arkansas-Pine Bluff
Great West Conference,2009-2010,4,37,89,0.294,-18.72,-7.39,0,0,0,South Dakota,South DakotaConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big Ten Conference,2010-2011,11,224,146,0.605,14.63,9.56,0,7,0,Ohio State,Ohio State
Pacific-10 Conference,2010-2011,10,195,146,0.572,10.07,7.19,1,4,0,Arizona,Washington
Big East Conference,2010-2011,16,331,210,0.612,13.27,8.59,0,11,1,Pittsburgh,Connecticut
West Coast Conference,2010-2011,8,142,126,0.530,2.64,2.17,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga
Atlantic Sun Conference,2010-2011,11,164,189,0.465,-4.70,-2.65,0,1,0,Belmont,Belmont
Southeastern Conference,2010-2011,12,237,165,0.590,8.57,5.23,0,5,1,Florida (East),Kentucky
Horizon League,2010-2011,10,179,153,0.539,1.87,1.73,0,1,1,Butler Cleveland State Milwaukee,Butler
Big 12 Conference,2010-2011,12,257,149,0.633,12.00,6.30,0,5,0,Kansas,Kansas
Atlantic Coast Conference,2010-2011,12,241,163,0.597,11.23,6.82,0,4,0,North Carolina,Duke
Conference USA,2010-2011,12,233,160,0.593,4.39,1.88,0,2,0,UAB,Memphis
Western Athletic Conference,2010-2011,9,161,133,0.548,1.56,0.34,0,1,0,Utah State,Utah State
Mountain West Conference,2010-2011,9,181,120,0.601,8.16,5.07,0,3,0,Brigham Young San Diego State,San Diego State
Mid-American Conference,2010-2011,12,189,209,0.475,-3.29,-1.48,0,1,0,Kent State (East) Western Michigan (West),Akron
Ohio Valley Conference,2010-2011,10,153,166,0.480,-6.46,-4.94,0,1,0,Murray State,Morehead State
Missouri Valley Conference,2010-2011,10,184,153,0.546,2.32,1.45,0,1,0,Missouri State,Indiana State
Big West Conference,2010-2011,9,131,152,0.463,-2.98,-1.28,0,1,0,Long Beach State,UC Santa Barbara
Atlantic 10 Conference,2010-2011,14,243,209,0.538,3.15,2.37,0,3,0,Xavier,Richmond
Metro Atlantic Athletic Conference,2010-2011,10,157,168,0.483,-3.60,-2.53,0,1,0,Fairfield,Saint Peter's
Patriot League,2010-2011,8,113,135,0.456,-6.95,-5.14,0,1,0,Bucknell,Bucknell
Colonial Athletic Association,2010-2011,12,209,182,0.535,0.81,0.47,0,3,1,George Mason,Old Dominion
Sun Belt Conference,2010-2011,12,176,198,0.471,-5.88,-3.65,0,1,0,Florida Atlantic (East) Arkansas State (West) Louisiana (West),Little Rock
Southern Conference,2010-2011,12,185,205,0.474,-5.14,-2.54,0,1,0,Chattanooga (North) Western Carolina (North) College of Charleston (South) Wofford (South),Wofford
Big South Conference,2010-2011,10,155,161,0.491,-6.49,-3.87,0,1,0,Coastal Carolina,UNC Asheville
America East Conference,2010-2011,9,126,157,0.445,-8.17,-5.41,0,1,0,Vermont,Boston University
Ivy League,2010-2011,8,117,113,0.509,-3.53,-2.64,0,1,0,Harvard Princeton,
Big Sky Conference,2010-2011,9,132,144,0.478,-5.05,-2.89,0,1,0,Northern Colorado,Northern Colorado
Mid-Eastern Athletic Conference,2010-2011,11,151,196,0.435,-12.83,-7.66,0,1,0,Bethune-Cookman,Hampton
Independent,2010-2011,7,83,118,0.413,-13.53,-3.71,0,0,0,,
Northeast Conference,2010-2011,12,168,200,0.457,-6.72,-4.68,0,1,0,Long Island University,Long Island University
Southwest Athletic Conference,2010-2011,10,116,197,0.371,-16.98,-9.41,0,1,0,Texas Southern,Alabama State
Southland Conference,2010-2011,12,181,186,0.493,-7.76,-5.22,0,1,0,McNeese State (East) Sam Houston (West) Texas State (West),UTSA
Summit League,2010-2011,10,149,164,0.476,-4.81,-2.98,0,1,0,Oakland,Oakland
Great West Conference,2010-2011,7,88,133,0.398,-15.02,-8.40,0,0,0,Utah Valley,North DakotaConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2011-2012,10,209,131,0.615,11.71,7.49,1,6,1,Kansas,Missouri
Southeastern Conference,2011-2012,12,246,160,0.606,10.09,6.24,0,4,1,Kentucky,Vanderbilt
Big East Conference,2011-2012,16,334,217,0.606,10.66,6.81,0,9,1,Syracuse,Louisville
Atlantic Sun Conference,2011-2012,10,156,167,0.483,-2.54,-1.03,0,1,0,Belmont,Belmont
West Coast Conference,2011-2012,9,158,132,0.545,1.63,1.33,0,3,0,Saint Mary's (CA),Saint Mary's (CA)
Pac-12 Conference,2011-2012,12,226,185,0.550,6.74,4.83,0,2,0,Washington,Colorado
Big Ten Conference,2011-2012,12,260,157,0.624,12.77,8.18,0,6,1,Michigan Michigan State Ohio State,Michigan State
Mid-American Conference,2011-2012,12,195,197,0.497,-1.56,-0.91,0,1,0,Akron (East) Eastern Michigan (West),Ohio
Horizon League,2011-2012,10,167,160,0.511,-1.41,-0.21,0,1,0,Valparaiso,Detroit Mercy
Conference USA,2011-2012,12,218,172,0.559,4.15,2.48,0,2,0,Memphis,Memphis
Atlantic 10 Conference,2011-2012,14,251,205,0.550,5.28,3.59,0,4,0,Temple,St. Bonaventure
Mountain West Conference,2011-2012,8,165,96,0.632,7.04,3.36,0,4,0,New Mexico San Diego State,New Mexico
Big West Conference,2011-2012,9,133,148,0.473,-4.29,-2.33,0,1,0,Long Beach State,Long Beach State
Western Athletic Conference,2011-2012,8,150,121,0.554,0.42,-0.40,0,1,0,Nevada,New Mexico State
Colonial Athletic Association,2011-2012,12,197,200,0.496,-1.41,-0.86,0,1,0,Drexel,Virginia Commonwealth
Sun Belt Conference,2011-2012,12,177,197,0.473,-2.26,-0.88,0,1,0,Middle Tennessee (East) Little Rock (West),Western Kentucky
Patriot League,2011-2012,8,123,128,0.490,-6.16,-4.75,0,1,0,Bucknell,Lehigh
Big Sky Conference,2011-2012,9,127,145,0.467,-6.20,-3.69,0,1,0,Montana,Montana
America East Conference,2011-2012,9,121,163,0.426,-8.80,-6.12,0,1,0,Stony Brook,Vermont
Atlantic Coast Conference,2011-2012,12,232,166,0.583,8.74,5.76,0,5,0,North Carolina,Florida State
Ohio Valley Conference,2011-2012,11,172,175,0.496,-6.30,-4.05,0,1,0,Murray State,Murray State
Missouri Valley Conference,2011-2012,10,180,151,0.544,4.85,3.48,0,2,0,Wichita State,Creighton
Big South Conference,2011-2012,11,167,182,0.479,-6.22,-4.25,0,1,0,UNC Asheville,UNC Asheville
Southern Conference,2011-2012,12,179,200,0.472,-5.83,-3.13,0,1,0,UNC Greensboro (North) Davidson (South),Davidson
Independent,2011-2012,3,38,51,0.427,-10.60,-4.13,0,0,0,,
Summit League,2011-2012,10,168,153,0.523,-2.72,-1.94,0,1,0,Oral Roberts,South Dakota State
Mid-Eastern Athletic Conference,2011-2012,13,176,238,0.425,-10.63,-6.05,0,1,0,Savannah State,Norfolk State
Ivy League,2011-2012,8,125,119,0.512,-2.42,-2.08,0,1,0,Harvard,
Metro Atlantic Athletic Conference,2011-2012,10,157,169,0.482,-4.10,-2.85,0,2,0,Iona,Loyola (MD)
Southland Conference,2011-2012,12,180,197,0.477,-7.31,-4.47,0,1,0,Lamar (East) UT Arlington (West),Lamar
Northeast Conference,2011-2012,12,167,207,0.447,-7.42,-4.99,0,1,0,Long Island University,Long Island University
Great West Conference,2011-2012,6,77,112,0.407,-12.73,-5.90,0,0,0,Utah Valley,North Dakota
Southwest Athletic Conference,2011-2012,10,118,195,0.377,-16.71,-9.40,0,1,0,Mississippi Valley State,Mississippi Valley StateConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2012-2013,12,237,168,0.585,9.84,6.67,1,5,0,UCLA,Oregon
Big 12 Conference,2012-2013,10,199,139,0.589,9.49,6.29,0,5,0,Kansas Kansas State,Kansas
Big East Conference,2012-2013,15,316,191,0.623,11.83,7.30,0,8,2,Georgetown Louisville Marquette,Louisville
Big Ten Conference,2012-2013,12,262,159,0.622,14.14,9.21,0,7,1,Indiana,Ohio State
Atlantic 10 Conference,2012-2013,16,293,225,0.566,6.10,4.25,0,5,0,Saint Louis,Saint Louis
West Coast Conference,2012-2013,9,175,130,0.574,4.57,2.80,0,2,0,Gonzaga,Gonzaga
Southeastern Conference,2012-2013,14,263,203,0.564,8.24,5.12,0,3,0,Florida,Mississippi
Western Athletic Conference,2012-2013,10,164,156,0.513,-0.50,-0.65,0,1,0,Denver Louisiana Tech,New Mexico State
Mid-American Conference,2012-2013,12,191,196,0.494,-2.29,-1.36,0,1,0,Akron (East) Ohio (East) Western Michigan (West),Akron
Atlantic Coast Conference,2012-2013,12,245,163,0.600,10.10,6.47,0,4,0,Miami (FL),Miami (FL)
Mountain West Conference,2012-2013,9,185,113,0.621,8.32,5.53,0,5,0,New Mexico,New Mexico
Metro Atlantic Athletic Conference,2012-2013,10,161,169,0.488,-2.09,-1.46,0,1,0,Niagara,Iona
Missouri Valley Conference,2012-2013,10,194,150,0.564,6.07,4.27,0,2,1,Creighton,Creighton
Conference USA,2012-2013,12,225,175,0.563,1.44,0.41,0,1,0,Memphis,Memphis
Colonial Athletic Association,2012-2013,11,163,192,0.459,-3.55,-1.82,0,1,0,Northeastern,James Madison
Big West Conference,2012-2013,10,156,169,0.480,-3.17,-1.24,0,1,0,Long Beach State,Pacific
America East Conference,2012-2013,9,135,147,0.479,-5.62,-4.15,0,1,0,Stony Brook,Albany (NY)
Northeast Conference,2012-2013,12,171,203,0.457,-7.32,-4.59,0,1,0,Robert Morris,Long Island University
Sun Belt Conference,2012-2013,11,174,178,0.494,-3.43,-2.45,0,2,0,Middle Tennessee (East) Arkansas State (West),Western Kentucky
Ivy League,2012-2013,8,107,128,0.455,-3.72,-1.97,0,1,0,Harvard,
Independent,2012-2013,2,22,34,0.393,-13.88,-4.18,0,0,0,,
Summit League,2012-2013,9,138,153,0.474,-6.43,-3.55,0,1,0,South Dakota State Western Illinois,South Dakota State
Horizon League,2012-2013,9,160,140,0.533,-0.53,-0.57,0,1,0,Valparaiso,Valparaiso
Southern Conference,2012-2013,12,175,212,0.452,-7.57,-4.78,0,1,0,Elon (North) Davidson (South),Davidson
Patriot League,2012-2013,8,125,128,0.494,-3.53,-3.03,0,1,0,Bucknell,Bucknell
Mid-Eastern Athletic Conference,2012-2013,13,173,244,0.415,-10.51,-6.01,0,1,0,Norfolk State,North Carolina A&T
Big South Conference,2012-2013,12,172,214,0.446,-8.81,-5.62,0,1,0,High Point (North) Charleston Southern (South),Liberty
Big Sky Conference,2012-2013,11,157,187,0.456,-8.32,-5.40,0,1,0,Montana,Montana
Southland Conference,2012-2013,10,145,170,0.460,-7.81,-4.52,0,1,0,Stephen F. Austin,Northwestern State
Atlantic Sun Conference,2012-2013,10,144,176,0.450,-6.84,-3.67,0,1,0,Mercer,Florida Gulf Coast
Great West Conference,2012-2013,5,71,86,0.452,-12.03,-7.45,0,0,0,NJIT,Chicago State
Ohio Valley Conference,2012-2013,12,188,187,0.501,-5.22,-3.53,0,1,0,Belmont (East) Murray State (West),Belmont
Southwest Athletic Conference,2012-2013,10,118,192,0.381,-15.30,-8.90,0,1,0,Texas Southern,SouthernConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2013-2014,12,248,160,0.608,11.22,7.59,1,6,0,Arizona,UCLA
Big 12 Conference,2013-2014,10,207,133,0.609,13.24,9.09,1,7,0,Kansas,Iowa State
West Coast Conference,2013-2014,10,189,146,0.564,5.23,3.63,0,2,0,Gonzaga,Gonzaga
Atlantic 10 Conference,2013-2014,13,251,176,0.588,6.55,4.12,0,6,0,Saint Louis,Saint Joseph's
Big Ten Conference,2013-2014,12,258,159,0.619,13.18,8.31,0,6,1,Michigan,Michigan State
Southeastern Conference,2013-2014,14,281,199,0.585,9.66,6.47,0,3,2,Florida,Florida
Big East Conference,2013-2014,10,198,136,0.593,10.90,7.21,0,4,0,Villanova,Providence
Horizon League,2013-2014,9,152,145,0.512,-0.50,-0.22,0,1,0,Green Bay,Milwaukee
Atlantic Coast Conference,2013-2014,15,300,210,0.588,10.80,7.21,0,6,0,Virginia,Virginia
American Athletic Conference,2013-2014,10,204,138,0.596,9.08,5.79,0,4,1,Cincinnati Louisville,Louisville
Metro Atlantic Athletic Conference,2013-2014,11,173,187,0.481,-2.31,-1.53,0,1,0,Iona,Manhattan
Mid-American Conference,2013-2014,12,208,184,0.531,-1.49,-0.95,0,1,0,Buffalo (East) Toledo (West) Western Michigan (West),Western Michigan
Summit League,2013-2014,8,131,125,0.512,-2.92,-1.74,0,1,0,North Dakota State,North Dakota State
Conference USA,2013-2014,16,280,248,0.530,-1.15,-0.84,0,1,0,Louisiana Tech Middle Tennessee Tulsa,Tulsa
Patriot League,2013-2014,10,153,164,0.483,-4.58,-3.67,0,1,0,Boston University,American
Big West Conference,2013-2014,9,140,150,0.483,-1.90,-0.73,0,1,0,UC Irvine,Cal Poly
Ivy League,2013-2014,8,125,117,0.517,-1.77,-1.67,0,1,0,Harvard,
Colonial Athletic Association,2013-2014,9,141,152,0.481,-2.78,-1.53,0,1,0,Delaware,Delaware
Missouri Valley Conference,2013-2014,10,177,152,0.538,1.53,0.98,0,1,0,Wichita State,Wichita State
America East Conference,2013-2014,9,119,162,0.423,-9.19,-5.59,0,1,0,Vermont,Albany (NY)
Mountain West Conference,2013-2014,11,206,160,0.563,4.64,3.26,0,2,0,San Diego State,New Mexico
Northeast Conference,2013-2014,10,138,178,0.437,-8.67,-5.31,0,1,0,Robert Morris,Mount St. Mary's
Western Athletic Conference,2013-2014,9,135,153,0.469,-5.77,-3.41,0,1,0,Utah Valley,New Mexico State
Big Sky Conference,2013-2014,11,159,182,0.466,-7.38,-4.79,0,1,0,Weber State,Weber State
Sun Belt Conference,2013-2014,10,157,160,0.495,-2.75,-1.41,0,1,0,Georgia State,Louisiana
Atlantic Sun Conference,2013-2014,10,152,172,0.469,-7.47,-4.72,0,1,0,Florida Gulf Coast Mercer,Mercer
Ohio Valley Conference,2013-2014,12,185,201,0.479,-6.54,-4.28,0,1,0,Belmont (East) Murray State (West),Eastern Kentucky
Independent,2013-2014,1,13,16,0.448,-12.52,-7.48,0,0,0,,
Southwest Athletic Conference,2013-2014,10,132,184,0.418,-14.47,-9.03,0,1,0,Southern,Texas Southern
Big South Conference,2013-2014,12,186,206,0.474,-9.84,-6.56,0,1,0,High Point (North) Coastal Carolina (South),Coastal Carolina
Southern Conference,2013-2014,11,162,195,0.454,-10.38,-6.54,0,1,0,Davidson,Wofford
Mid-Eastern Athletic Conference,2013-2014,13,167,246,0.404,-11.13,-6.53,0,1,0,North Carolina Central,North Carolina Central
Southland Conference,2013-2014,14,206,226,0.477,-10.37,-6.20,0,1,0,Stephen F. Austin,Stephen F. AustinConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2014-2015,12,242,166,0.593,9.74,6.59,1,4,0,Arizona,Arizona
Big 12 Conference,2014-2015,10,209,128,0.620,14.05,9.03,1,7,0,Kansas,Iowa State
Big East Conference,2014-2015,10,199,136,0.594,12.20,8.51,1,6,0,Villanova,Villanova
West Coast Conference,2014-2015,10,179,147,0.549,5.07,3.84,0,2,0,Gonzaga,Gonzaga
Big Ten Conference,2014-2015,14,287,191,0.600,12.22,8.02,0,7,2,Wisconsin,Wisconsin
Atlantic 10 Conference,2014-2015,14,250,209,0.545,4.43,3.32,0,3,0,Davidson,Virginia Commonwealth
Southeastern Conference,2014-2015,14,276,198,0.582,10.65,7.51,0,5,1,Kentucky,Kentucky
Atlantic Coast Conference,2014-2015,15,316,200,0.612,12.33,8.06,0,6,1,Virginia,Notre Dame
Mid-American Conference,2014-2015,12,216,176,0.551,1.20,-0.07,0,1,0,Buffalo (East) Kent State (East) Central Michigan (West),Buffalo
Horizon League,2014-2015,9,148,146,0.503,-1.69,-0.54,0,1,0,Valparaiso,Valparaiso
Conference USA,2014-2015,14,234,222,0.513,-1.42,-0.75,0,1,0,Louisiana Tech,UAB
Big Sky Conference,2014-2015,12,178,199,0.472,-7.10,-4.56,0,1,0,Eastern Washington Montana,Eastern Washington
Metro Atlantic Athletic Conference,2014-2015,11,166,189,0.468,-3.75,-2.93,0,1,0,Iona,Manhattan
America East Conference,2014-2015,9,125,160,0.439,-7.79,-4.73,0,1,0,Albany (NY),Albany (NY)
Big West Conference,2014-2015,9,148,143,0.509,-0.76,0.09,0,1,0,UC Davis,UC Irvine
Southern Conference,2014-2015,10,157,165,0.488,-6.24,-4.07,0,1,0,Wofford,Wofford
Atlantic Sun Conference,2014-2015,8,125,135,0.481,-9.10,-5.79,0,1,0,North Florida,North Florida
Mountain West Conference,2014-2015,11,195,163,0.545,1.69,1.32,0,3,0,Boise State San Diego State,Wyoming
Independent,2014-2015,1,21,12,0.636,-3.21,-4.07,0,0,0,,
Patriot League,2014-2015,10,154,161,0.489,-5.35,-3.55,0,1,0,Bucknell,Lafayette
Summit League,2014-2015,9,141,143,0.496,-4.83,-3.21,0,1,0,North Dakota State South Dakota State,North Dakota State
Missouri Valley Conference,2014-2015,10,187,150,0.555,2.25,1.50,0,2,0,Wichita State,Northern Iowa
American Athletic Conference,2014-2015,11,200,164,0.549,3.35,2.29,0,2,0,Southern Methodist,Southern Methodist
Northeast Conference,2014-2015,10,140,175,0.444,-7.99,-5.04,0,1,0,St. Francis (NY),Robert Morris
Western Athletic Conference,2014-2015,8,115,144,0.444,-8.14,-4.59,0,1,0,New Mexico State,New Mexico State
Ivy League,2014-2015,8,122,116,0.513,-1.99,-1.76,0,1,0,Harvard Yale,
Colonial Athletic Association,2014-2015,10,157,168,0.483,-3.02,-2.07,0,1,0,James Madison Northeastern UNC Wilmington William & Mary,Northeastern
Sun Belt Conference,2014-2015,11,181,172,0.513,-4.40,-3.48,0,1,0,Georgia State,Georgia State
Big South Conference,2014-2015,11,181,179,0.503,-7.69,-5.41,0,1,0,Charleston Southern High Point,Coastal Carolina
Ohio Valley Conference,2014-2015,12,190,192,0.497,-4.99,-3.44,0,1,0,Belmont (East) Eastern Kentucky (East) Murray State (West),Belmont
Mid-Eastern Athletic Conference,2014-2015,13,171,251,0.405,-12.87,-7.36,0,1,0,North Carolina Central,Hampton
Southwest Athletic Conference,2014-2015,10,120,198,0.377,-15.63,-8.87,0,1,0,Texas Southern,Texas Southern
Southland Conference,2014-2015,13,196,207,0.486,-9.02,-5.70,0,1,0,Stephen F. Austin,Stephen F. AustinConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2015-2016,12,241,160,0.601,11.85,8.52,1,7,0,Oregon,Oregon
Big East Conference,2015-2016,10,206,134,0.606,11.63,7.92,0,5,1,Villanova,Seton Hall
Big 12 Conference,2015-2016,10,213,129,0.623,15.01,10.12,1,7,1,Kansas,Kansas
