Year,Winner,Loser,Score,Odds
2002,UNC Wilmington,USC,93–89OT,13 vs 4
2003,Tulsa,Dayton,84–71,13 vs 4
2005,Vermont,Syracuse,60–57OT,13 vs 4
2006,Bradley,Kansas,77–73,13 vs 4
2008,Siena,Vanderbilt,83–62,13 vs 4
2008,San Diego,Connecticut,70–69OT,13 vs 4
2009,Cleveland State,Wake Forest,84–69,13 vs 4
2010,Murray State,Vanderbilt,66–65,13 vs 4
2011,Morehead State,Louisville,62–61,13 vs 4
2012,Ohio,Michigan,65–60,13 vs 4
2013,La Salle,Kansas State,63–61,13 vs 4
2016,Hawaii,California,77–66,13 vs 4
2018,Marshall,Wichita State,81–75,13 vs 4
2018,Buffalo,Arizona,89–68,13 vs 4
2019,UC Irvine,Kansas State,70–64,13 vs 4
2021,Ohio,Virginia,62–58,13 vs 4
2021,North Texas,Purdue,78–69OT,13 vs 4
2023,Furman,Virginia,68–67,13 vs 4
2024,Yale,Auburn,78–76,13 vs 4Year,Winner,Loser,Score,Odds
1986,Cleveland State,Indiana,83–79,14 vs 3
1986,Arkansas–Little Rock,Notre Dame,90–83,14 vs 3
1987,Austin Peay,Illinois,68–67,14 vs 3
1988,Murray State,NC State,78–75,14 vs 3
1989,Siena,Stanford,80–78,14 vs 3
1990,Northern Iowa,Missouri,74–71,14 vs 3
1991,Xavier,Nebraska,89–84,14 vs 3
1992,East Tennessee State,Arizona,87–80,14 vs 3
1995,Old Dominion,Villanova,89–813 OT,14 vs 3
1995,Weber State,Michigan State,79–72,14 vs 3
1997,Chattanooga,Georgia,73–70,14 vs 3
1998,Richmond,South Carolina,62–61,14 vs 3
1999,Weber State,North Carolina,76–74,14 vs 3
2005,Bucknell,Kansas,64–63,14 vs 3
2006,Northwestern State,Iowa,64–63,14 vs 3
2010,Ohio,Georgetown,97–83,14 vs 3
2013,Harvard,New Mexico,68–62,14 vs 3
2014,Mercer,Duke,78–71,14 vs 3
2015,Georgia State,Baylor,57–56,14 vs 3
2015,UAB,Iowa State,60–59,14 vs 3
2016,Stephen F. Austin,West Virginia,70–56,14 vs 3
2021,Abilene Christian,Texas,53–52,14 vs 3
2024,Oakland,Kentucky,80–76,14 vs 3Year,Winner,Loser,Score,Odds
1991,Richmond,Syracuse,73–69,15 vs 2
1993,Santa Clara,Arizona,64–61,15 vs 2
1997,Coppin State,South Carolina,78–65,15 vs 2
2001,Hampton,Iowa State,58–57,15 vs 2
2012,Lehigh,Duke,75–70,15 vs 2
2012,Norfolk State,Missouri,86–84,15 vs 2
2013,Florida Gulf Coast,Georgetown,78–68,15 vs 2
2016,Middle Tennessee,Michigan State,90–81,15 vs 2
2021,Oral Roberts,Ohio State,75–72OT,15 vs 2
2022,Saint Peter's,Kentucky,85–79OT,15 vs 2
2023,Princeton,Arizona,59–55,15 vs 2Year,Winner,Loser,Score,Odds
2018,UMBC,Virginia,74–54,16 vs 1
2023,Fairleigh Dickinson,Purdue,63–58,16 vs 1
